2.48615e-01 2.37104e-01
7.61807e-01 7.25181e-01
1.30795e+00 1.24290e+00
1.88916e+00 1.79148e+00
2.50769e+00 2.37173e+00
3.16594e+00 2.98373e+00
3.86645e+00 3.62657e+00
4.61194e+00 4.29801e+00
5.40530e+00 4.99436e+00
6.24960e+00 5.71037e+00
7.14811e+00 6.43951e+00
8.10432e+00 7.17429e+00
9.12192e+00 7.90697e+00
1.02049e+01 8.63024e+00
1.13573e+01 9.33791e+00
1.25838e+01 1.00253e+01
1.38890e+01 1.06892e+01
1.52781e+01 1.13277e+01
1.67563e+01 1.19393e+01
1.83294e+01 1.25225e+01
2.00036e+01 1.30747e+01
2.17852e+01 1.35929e+01
2.36813e+01 1.40755e+01
2.56991e+01 1.45229e+01
2.78464e+01 1.49390e+01
3.01316e+01 1.53308e+01
3.25636e+01 1.57071e+01
3.51517e+01 1.60705e+01
3.79060e+01 1.64159e+01
4.08371e+01 1.67398e+01
4.39565e+01 1.70466e+01
4.72761e+01 1.73453e+01
5.08089e+01 1.76366e+01
5.45685e+01 1.79090e+01
5.85696e+01 1.81603e+01
6.28275e+01 1.84018e+01
6.73589e+01 1.86340e+01
7.21811e+01 1.88560e+01
7.68212e+01 1.90503e+01
8.11289e+01 1.92144e+01
8.54366e+01 1.93680e+01
8.97443e+01 1.95182e+01
9.40521e+01 1.96623e+01
9.83598e+01 1.97978e+01
1.02668e+02 1.99239e+01
1.06975e+02 2.00411e+01
1.11283e+02 2.01502e+01
1.15591e+02 2.02491e+01
1.19898e+02 2.03365e+01
1.24206e+02 2.04134e+01
1.28514e+02 2.04812e+01
1.32822e+02 2.05409e+01
1.37129e+02 2.05944e+01
1.41437e+02 2.06441e+01
1.45745e+02 2.06906e+01
1.50053e+02 2.07325e+01
1.54360e+02 2.07682e+01
1.58668e+02 2.07963e+01
1.62976e+02 2.08159e+01
1.67283e+02 2.08282e+01
1.71591e+02 2.08362e+01
1.75899e+02 2.08411e+01
1.80207e+02 2.08410e+01
1.84514e+02 2.08350e+01
